transaction_id,user_id,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,TRADER JOES,79.09,2023-04-13,Thursday,Groceries,1,0
txn_0000002,user_0001,TRADER JOES,29.58,2023-06-06,Tuesday,Groceries,1,0
txn_0000003,user_0001,WALMART GROCERY,91.78,2023-06-29,Thursday,Groceries,1,0
txn_0000004,user_0001,WEGMANS #4164,137.15,2023-08-24,Thursday,Groceries,1,0
txn_0000005,user_0001,APPLEBEES #6139,29.43,2023-01-16,Monday,Dining Out,1,0
txn_0000006,user_0001,DOORDASH*VSNUJZ,22.75,2023-01-20,Friday,Dining Out,1,0
txn_0000007,user_0001,MCDONALDS #78146,11.07,2023-02-25,Saturday,Dining Out,1,0
txn_0000008,user_0001,DUNKIN #80575,50.35,2023-05-15,Monday,Dining Out,1,0
txn_0000009,user_0001,OLIVE GARDEN #4228,26.79,2023-05-16,Tuesday,Dining Out,1,0
txn_0000010,user_0001,PANERA BREAD #8066,35.62,2023-06-19,Monday,Dining Out,1,0
txn_0000011,user_0001,STARBUCKS #97062,45.12,2023-06-26,Monday,Dining Out,1,0
txn_0000012,user_0001,PANERA BREAD #6143,26.88,2023-08-11,Friday,Dining Out,1,0
txn_0000013,user_0001,OLIVE GARDEN #3041,2.99,2023-11-02,Thursday,Dining Out,1,0
txn_0000014,user_0001,CITY WATER DEPT,204.0,2023-06-03,Saturday,Utilities,1,0
txn_0000015,user_0001,GOOGLE FI,85.67,2023-06-17,Saturday,Phone & Internet,1,0
txn_0000016,user_0001,SPECTRUM*84411983,96.33,2023-07-29,Saturday,Phone & Internet,1,0
txn_0000017,user_0001,SHELL OIL 50785405,31.69,2023-03-31,Friday,Transport,1,0
txn_0000018,user_0001,SUNOCO #320392,56.32,2023-07-27,Thursday,Transport,1,0
txn_0000019,user_0001,SPEEDWAY #6279,99.99,2023-11-12,Sunday,Transport,1,0
txn_0000020,user_0001,VALVOLINE #8238,12.0,2023-12-13,Wednesday,Transport,1,0
txn_0000021,user_0001,KAISER HEALTH,495.0,2023-08-15,Tuesday,Health Insurance,1,0
txn_0000022,user_0001,SPOTIFY USA,9.76,2023-03-28,Tuesday,Streaming,1,0
txn_0000023,user_0001,HBO MAX,19.24,2023-08-31,Thursday,Streaming,1,0
txn_0000024,user_0001,SPECS #195,55.75,2023-11-14,Tuesday,Alcohol,1,0
txn_0000025,user_0001,BEV MO #788,34.58,2023-11-21,Tuesday,Alcohol,1,0
